Bank Code,Bank Name,SWIFT Code
13019000,Siddhartha Finance Co. Ltd.,Not Available
13020000,Sri Investment and Finance Co. Ltd.,Not Available
13021000,Lumbini Finance and Leasing Co. Ltd,Not Available
13022000,Investa Finance Ltd.,Not Available
13023000,Yeti Finance Co. Ltd.,Not Available
13024000,Standard Finance Ltd.,Not Available
13025000,Ace Finance Co. Ltd.,Not Available
13026000,International Leasing and Finance C,Not Available
13026005,Kist Bank Ltd.,Not Available
13027000,Mahalaxmi Finance Ltd.,Not Available
13028000,Lalitpur Finance Company Ltd.,Not Available
13029000,Bhajuratna Finance and Shaving Co.,Not Available
13030000,United Finance Company Ltd.,Not Available
13031000,General Finance Co. Ltd.,Not Available
13032000,Nepal Srilanka Merchant Bank Ltd.,Not Available
13033000,Merchant Finance Company Ltd.,Not Available
13034000,Alpic Everest Finance Ltd.,Not Available
13035000,Nepal Merchant Banking and Finance,Not Available
13036000,Navadurga Finance Co. Ltd.,Not Available
13037000,Janaki Finance Ltd.,Not Available
13038000,Pokhara Finance Ltd.,Not Available
13039000,Central Finance Co. Ltd.,Not Available
13040000,Premier Finance Co. Ltd.,Not Available
13041000,Arun Finance and Saving Co. Ltd.,Not Available
13042000,Multipurpose Saving and Investment,Not Available
13043000,Butwal Finance Ltd.,Not Available
13044000,Shrijana Finance Ltd.,Not Available
13045000,Nepal Bangladesh Finance and Leasi,Not Available
13046000,Om Finance Ltd.,Not Available
13047000,Cosmic Merchant Banking and Finance,Not Available
13048000,World Merchant Banking and Finance,Not Available
13049000,Capital Merchant Banking and Finance,Not Available
13050000,Crystal Finance Ltd.,Not Available
13051000,Royal Merchant Banking and Finance,Not Available
13052000,Guheshwori Merchant Banking and Fin,Not Available
13053000,Patan Finance Ltd.,Not Available
13054000,KIST - Upgraded to CB,Not Available
13054002,Kist Merchant Banking and finance L,Not Available
13055000,Fewa Finance Ltd.,Not Available
13056000,Everest Finance Co. Ltd.,Not Available
13057000,Birgunj Finance Ltd.,Not Available
13058000,Prudential Merchant Banking and Fin,Not Available
13059000,ICFC Finance Ltd.,Not Available
13060000,IME Financial Institution,Not Available
13061000,Sagarmartha Merchant Banking and Fin,Not Available
13062000,Sikhar Bittiya Sanstha Ltd.,Not Available
13063000,Civil Merchant Bittiya Sanstha Ltd.,Not Available
13064000,"Prabhu Finance Co. Ltd., Corporate",Not Available
13065000,Imperial Bittiya Sanstha Ltd.,Not Available
13066000,Kuber Merchant Finance Ltd.,Not Available
13067000,Nepal Express Financial Institution,Not Available
13068000,Valley Bittiya Sanstha Ltd.,Not Available
13069000,Seti Bittiya Sanstha Ltd.,Not Available
13070000,Hama Bittiya Sanstha Ltd.,Not Available
13071000,Reliable Finance Ltd.,Not Available
13072000,Lord Buddha Financial Institution L,Not Available
13073000,Swastik Marchant Finance Co. Ltd.,Not Available
13074000,API Finance Ltd.,Not Available
13075000,Namaste Bittiya Sanstha Ltd.,Not Available
13076000,Kaski Finance Ltd.,Not Available
13077000,Surya Darshan Financial Inst. Ltd.,Not Available
13078000,Zenith Finance Ltd.,Not Available
13079000,Unique Financial Inst. Ltd.,Not Available
13080000,Manjushree Financial Inst. Ltd.,Not Available
13081000,Subhalaxmi Finance Ltd.,Not Available
13082000,Jebils Finance Ltd,Not Available
13083000,Reliance Finance Ltd,Not Available
13084000,Lotus Development Finance Ltd,Not Available
14001000,Purbanchal Gramin Bikas Bank,Not Available
14002000,Sudur Paschimanchal Gramin Bikas Bank,Not Available
14003000,Paschimanchal Gramin Bikas Bank,Not Available
14004000,Madhya Paschimanchal Gramin Bikas Bank,Not Available
14005000,Madhyamanchal Gramin Bikas Bank,Not Available
14006000,Nirdhan Utthan Bank,Not Available
14007000,Rural Microfinance Development Cent,Not Available
14008000,Deprosc Development Bank,Not Available
14009000,Chhimek Development Bank,Not Available
14010000,Shwabalamban Development Bank Ltd.,Not Available
14011000,Sana Kisan Bikas Bank,Not Available
14012000,Nerude Bittiya Sanstha Ltd.,Not Available
14013000,Naya Nepal Laghubitta Bikas Bank LT,Not Available
14014000,Summit Microfinance Development Ban,Not Available
14015000,Sorojgar Laghubitta Bikas Bank Ltd,Not Available
14016000,First Micro Finance Development Ban,Not Available
14017000,NAGBELI LAGHUBITTA BIKAS BANK LTD,Not Available
14018000,Kalika Microcredit Dev. Bank Ltd,Not Available
14019000,Mirmire Microfinance Development Ba,Not Available
15001000,Nabajivan Sahakari Sanstha Ltd.,Not Available
15002000,Sagun Sahakari Sanstha Ltd.,Not Available
15003000,Nepal Sahakari Bittiya Sanstha Ltd.,Not Available
15004000,"The Sahara Loan, Savings and Invest",Not Available
15005000,Bindabasini Bachat tatha Rin Sahaka,Not Available
15006000,Mahila Sahakari Sanstha Ltd.,Not Available
