Code,Description,
316,1% ID on above 80% Capacity Solar Inverter,
317,1% ID on Bio-Gas Equipment,
318,1% ID on Bio-Gas Battery Parts,
319,1% ID on Bio-Energy Products (Rice Husk Stove),
320,"1% ID on Organic Fuel Plant, Machinery and Chemicals",
321,1% ID on Dialysis Bath Concentrate for Kidney,
322,1% ID on Machine & Equipment for Cold Store,
323,1% ID on Pesticides & Insecticides of Heading 3808,
324,1% ID on Specified goods for Hospital & Health center,
325,1% ID on Hospital for Intraocular Lens,
326,"1% ID on Fire Fighter, Machine & Treatment Plant Etc",
327,"1% ID on Garbage Compactor, Container Etc.",
328,1% ID on Number Plate of Diplomatic or Project's Vehicle to convert NGOV,
329,1% ID on Medicine Raw Materials for Pharmaceuticals Ind.,
331,1% ID on Machinery & Raw-Mat for Electricity Production,
332,1% ID on Dialysis Bath Concentrate (3820),
333,1% ID For Deep Cycle Lead Acid Battery,
334,1% ID for Tomato Ketchup & Sauces Ind.,
335,50% ID Rebate on Chemical for Ink Industries,
336,5% ID on Various Commodities for Printing Industries,
337,50% ID Rebate on Micro Bus for Travel & Trekking Industries,
338,ID Rs. 5000 on Celluloid Film Abroad for Film Industries (Re-Import),
339,5% ID on Rafting Agency,
340,ID Charge >8 years Transfer Vehicle for Trekking Agencies,
341,5% ID on Listed Goods for Hotel & Resorts,
342,50% ID Rebate on Vehicle for Hospitals,
343,2.5% ID for Machinery & Equipment for Cine Industries,
344,10% ID on Consumable Goods for Mountaineering Team by Trekking,
345,7% ID on Telecom Equipments for Gramin Telecom Provider,
346,50% ID Rebate on Newsprint Paper by Printing Industries,
347,ID Rebate on Syringe Raw Materials,
348,10% ID for C.T.P.,
349,50% ID on vehicle for PASU firm,
350,50% ID on vehicle for tea industry,
360,5% ID on Air Handling Unit for Medical Industries,
362,0% ID or 0% ARF on Ostrich of Maaujati Chicks for Poultry firm,
364,0% ID or 0% ARF on Seed & Plant for Floriculture Ind.,
365,0% ID or 0% ARF on Hatchery Industries,
366,Temporary Import of Combined Thresher,
367,0% ID or 0% ARF on Neemkhali & Andikhali,
368,Import for Export,
369,0% ID or 0% ARF on Sajiban (Jatropha),
370,0% ID or 0% ARF on Hybrid Living Animal,
371,0% ID on Scooter of Disabled Person,
372,Duty Charge for Personal Effect (Dutiable),
373,"50% ID Rebate for Container, Truck, Trailer",
376,Export of Salla Chips,
