Code,Description
EXW,Ex Works
FCA,Free Carrier
CPT,Carriage Paid To
CIP,Carriage and Insurance Paid To
DAP,Delivered at Place
DPU,Delivered at Place Unloaded
DDP,Delivered Duty Paid
FAS,Free Alongside Ship
FOB,Free on Board
CFR,Cost and Freight
CIF,"Cost, Insurance and Freight"
